Municipio del hecho DANE,Departamento del hecho DANE,total_casos,ratio_masculino,años_activos,cluster
ocamonte,santander,5,0.0,3,1
ocaña,norte de santander,396,0.0,10,0
oiba,santander,6,0.0,5,1
olaya,antioquia,26,0.0,8,0
olaya herrera,nariño,29,0.0,9,0
onzaga,santander,5,0.0,5,1
oporapa,huila,26,0.0,9,0
orito,putumayo,200,0.0,10,0
orocué,casanare,33,0.0,9,0
ortega,tolima,18,0.0,8,0
otanche,boyacá,9,0.0,7,1
ovejas,sucre,33,0.0,9,0
pacho,cundinamarca,20,0.0,7,1
padilla,cauca,48,0.0,9,0
paicol,huila,8,0.0,3,1
pailitas,cesar,58,0.0,10,0
paipa,boyacá,12,0.0,6,1
palermo,huila,55,0.0,10,0
palestina,caldas,76,0.0,10,0
palestina,huila,16,0.0,8,0
palmar de varela,atlántico,32,0.0,9,0
palmira,valle del cauca,1460,0.0,10,3
palmito,sucre,12,0.0,5,1
palocabildo,tolima,23,0.0,7,1
pamplona,norte de santander,39,0.0,10,0
pandi,cundinamarca,7,0.0,5,1
paratebueno,cundinamarca,26,0.0,9,0
pasca,cundinamarca,5,0.0,3,1
pasto,nariño,532,0.0,10,0
patía,cauca,337,0.0,10,0
pauna,boyacá,11,0.0,6,1
paz de ariporo,casanare,76,0.0,10,0
pedraza,magdalena,8,0.0,6,1
pelaya,cesar,69,0.0,9,0
pensilvania,caldas,21,0.0,7,1
peque,antioquia,23,0.0,8,0
pereira,risaralda,1304,0.0,10,3
peñol,antioquia,69,0.0,10,0
piamonte,cauca,67,0.0,10,0
piedecuesta,santander,197,0.0,10,0
piendamó,cauca,78,0.0,10,0
pijao,quindio,8,0.0,1,1
pijao,quindío,17,0.0,7,1
pijiño del carmen,magdalena,10,0.0,5,1
pinchote,santander,6,0.0,3,1
pinillos,bolívar,15,0.0,7,1
piojó,atlántico,6,0.0,4,1
pital,huila,12,0.0,9,0
pitalito,huila,419,0.0,10,0
pivijay,magdalena,74,0.0,10,0
planadas,tolima,93,0.0,10,0
planeta rica,córdoba,51,0.0,10,0
plato,magdalena,90,0.0,10,0
policarpa,nariño,48,0.0,9,0
polonuevo,atlántico,16,0.0,7,1
ponedera,atlántico,26,0.0,9,0
popayán,cauca,718,0.0,10,0
pore,casanare,21,0.0,8,0
potosí,nariño,9,0.0,8,0
pradera,valle del cauca,338,0.0,10,0
prado,tolima,8,0.0,5,1
providencia,nariño,7,0.0,3,1
pueblo bello,cesar,29,0.0,9,0
pueblo nuevo,córdoba,16,0.0,5,1
pueblo rico,risaralda,21,0.0,8,0
pueblorrico,antioquia,24,0.0,7,1
puebloviejo,magdalena,52,0.0,9,0
puente nacional,santander,10,0.0,5,1
puerres,nariño,8,0.0,7,1
puerto asís,putumayo,427,0.0,10,0
puerto berrío,antioquia,320,0.0,10,0
puerto boyacá,boyacá,174,0.0,10,0
puerto caicedo,putumayo,119,0.0,10,0
puerto carreño,vichada,105,0.0,10,0
puerto colombia,atlántico,109,0.0,10,0
puerto concordia,meta,48,0.0,10,0
puerto escondido,córdoba,12,0.0,6,1
puerto gaitán,meta,194,0.0,10,0
puerto guzmán,putumayo,239,0.0,10,0
puerto leguízamo,putumayo,164,0.0,10,0
puerto libertador,córdoba,120,0.0,10,0
puerto lleras,meta,37,0.0,9,0
puerto lópez,meta,114,0.0,10,0
puerto nare,antioquia,10,0.0,5,1
puerto parra,santander,7,0.0,4,1
puerto rico,caquetá,92,0.0,10,0
puerto rico,meta,50,0.0,10,0
puerto rondón,arauca,93,0.0,9,0
puerto salgar,cundinamarca,33,0.0,10,0
puerto santander,norte de santander,180,0.0,10,0
puerto tejada,cauca,409,0.0,10,0
puerto triunfo,antioquia,48,0.0,10,0
puerto wilches,santander,119,0.0,10,0
pupiales,nariño,19,0.0,6,1
puracé,cauca,13,0.0,7,1
purificación,tolima,24,0.0,9,0
purísima de la concepción,córdoba,27,0.0,9,0
pácora,caldas,31,0.0,7,1
páez,cauca,70,0.0,9,0
quebradanegra,cundinamarca,9,0.0,6,1
quibdó,chocó,1228,0.0,10,3
quimbaya,quindio,33,0.0,1,1
quimbaya,quindío,152,0.0,9,0
quinchía,risaralda,47,0.0,10,0
quipile,cundinamarca,8,0.0,5,1
quípama,boyacá,11,0.0,8,0
ragonvalia,norte de santander,13,0.0,5,1
ramiriquí,boyacá,6,0.0,5,1
regidor,bolívar,11,0.0,7,1
remedios,antioquia,282,0.0,10,0
remolino,magdalena,12,0.0,6,1
repelón,atlántico,33,0.0,10,0
restrepo,meta,20,0.0,8,0
restrepo,valle del cauca,105,0.0,10,0
retiro,antioquia,23,0.0,9,0
ricaurte,cundinamarca,22,0.0,9,0
ricaurte,nariño,62,0.0,10,0
rioblanco,tolima,53,0.0,9,0
riofrío,valle del cauca,89,0.0,10,0
riohacha,la guajira,689,0.0,10,0
rionegro,antioquia,300,0.0,10,0
rionegro,santander,41,0.0,10,0
riosucio,caldas,50,0.0,10,0
riosucio,chocó,80,0.0,10,0
risaralda,caldas,29,0.0,9,0
rivera,huila,37,0.0,10,0
